Started December 28, 2022 23:37:30Resistor	201600.0	Excitation Current (A)	6.12e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
2.17870261	14.0393	13.9045	5.94976
2.27901634	14.0393	13.9045	5.94976
2.36472222	14.0393	13.9045	5.93654
2.25856536	14.0393	13.9045	5.93654
2.32771242	14.0393	13.9045	5.93654
2.34329739	14.0393	13.9045	5.93654
2.25564052	14.0393	13.9045	5.93654
2.20402288	14.0393	13.9045	5.93654
2.2517451	14.0393	13.9045	5.93654
2.25953922	14.0393	13.9045	5.93654
2.3452451	14.0393	13.9045	5.93654
2.21766013	14.0393	13.9045	5.93654
2.22837255	14.0393	13.9045	5.93654
2.3014183	14.0393	13.9045	5.93654
2.24590196	14.0393	13.9045	5.93654
2.24590196	14.0393	13.9045	5.93654
2.28778105	14.0393	13.9045	5.93654
2.24103268	14.0393	13.9045	5.93654
2.24979739	14.0393	13.9045	5.93654
2.35985294	14.0393	13.9045	5.93654
2.27706863	13.9051	13.9045	5.93654
2.24784967	13.9051	13.9045	5.93654
2.32479085	13.9051	13.9045	5.93654
2.17188235	13.9051	13.9045	5.93654
2.22447712	13.9051	13.9045	5.93654
2.20499673	13.9051	13.8258	5.93654
2.27901634	13.9051	13.8258	5.93654
2.23032026	13.9051	13.8258	5.93654
2.23713725	13.9051	13.8258	5.93654
2.30628758	13.9051	13.8258	5.93654
2.29167647	13.9051	13.8258	5.93654
2.32966013	13.9051	13.8258	5.93654
2.20499673	13.9051	13.8258	5.92498
2.25661438	13.9051	13.8258	5.92498
2.28583333	13.9051	13.8258	5.92498
2.27512092	13.9051	13.8258	5.92498
2.29265033	13.9051	13.8258	5.92498
2.29849346	13.9051	13.8258	5.92498
2.23908497	13.9051	13.8258	5.92498
2.24784967	13.9051	13.8258	5.92498
2.29751961	13.9051	13.8258	5.92498
2.26927778	13.9051	13.8258	5.92498
2.3325817	13.9051	13.8258	5.92498
2.19038889	13.9051	13.8258	5.92498
2.23324183	13.9051	13.8258	5.92498
2.20889216	13.9051	13.8258	5.92498
2.35303595	13.9051	13.8258	5.92498
2.1835719	13.9051	13.8258	5.92498
2.20110131	13.9051	13.8258	5.92498
2.17578105	13.6914	13.8258	5.92498
2.27025163	13.6914	13.8258	5.92498
2.24200654	13.6914	13.8258	5.92498
2.30336601	13.6914	13.8258	5.92498
2.32089542	13.6914	13.8258	5.92498
2.28096405	13.6914	13.8258	5.92498
2.18649346	13.6914	13.7446	5.92498
2.28680719	13.6914	13.7446	5.92498
2.24395425	13.6914	13.7446	5.92498
2.22642484	13.6914	13.7446	5.92498
2.25466667	13.6914	13.7446	5.92498
2.28388562	13.6914	13.7446	5.92498
2.20110131	13.6914	13.7446	5.92143
2.34427124	13.6914	13.7446	5.92143
2.27512092	13.6914	13.7446	5.92143
2.25564052	13.6914	13.7446	5.92143
2.21863399	13.6914	13.7446	5.92143
2.30044444	13.6914	13.7446	5.92143
2.3014183	13.6914	13.7446	5.92143
2.16214379	13.6914	13.7446	5.92143
2.25271895	13.6914	13.7446	5.92143
2.26830392	13.6914	13.7446	5.92143
2.2644085	13.6914	13.7446	5.92143
2.14948366	13.6914	13.7446	5.92143
2.23421569	13.6914	13.7446	5.92143
2.20889216	13.6914	13.7446	5.92143
2.24882353	13.6914	13.7446	5.92143
2.21766013	13.6914	13.7446	5.92143
2.3540098	13.6914	13.7446	5.92143
2.15630065	13.6914	13.7446	5.92143
2.29070261	13.6612	13.7446	5.92143
2.26051307	13.6612	13.7446	5.92143
2.25856536	13.6612	13.7446	5.92143
2.27414706	13.6612	13.7446	5.92143
2.21766013	13.6612	13.7446	5.92143
2.23421569	13.6612	13.6622	5.92143
2.27414706	13.6612	13.6622	5.92143
2.29654575	13.6612	13.6622	5.92143
2.34134641	13.6612	13.6622	5.92143
2.28972876	13.6612	13.6622	5.92143
2.2887549	13.6612	13.6622	5.92143
2.1923366	13.6612	13.6622	5.92143
2.27512092	13.6612	13.6622	5.91438
2.33842484	13.6612	13.6622	5.91438
2.26246078	13.6612	13.6622	5.91438
2.24395425	13.6612	13.6622	5.91438
2.26343464	13.6612	13.6622	5.91438
2.41828758	13.6612	13.6622	5.91438
2.20402288	13.6612	13.6622	5.91438
2.20499673	13.6612	13.6622	5.91438
2.31505229	13.6612	13.6622	5.91438
2.23226797	13.6612	13.6622	5.91438
2.317	13.6612	13.6622	5.91438
2.18065033	13.6612	13.6622	5.91438
2.30628758	13.6612	13.6622	5.91438
2.29265033	13.6612	13.6622	5.91438
2.26246078	13.6612	13.6622	5.91438
2.28680719	13.6612	13.6622	5.91438
2.29265033	13.6612	13.6622	5.91438
2.16798693	13.7899	13.6622	5.91438
2.27025163	13.7899	13.6622	5.91438
2.20889216	13.7899	13.6622	5.91438
2.24005882	13.7899	13.6622	5.91438
2.17870261	13.7899	13.6622	5.91438
2.32381699	13.7899	13.6622	5.91438
2.28291176	13.7899	13.5812	5.91438
2.24103268	13.7899	13.5812	5.91438
2.26148693	13.7899	13.5812	5.91438
2.26733007	13.7899	13.5812	5.91438
2.31797386	13.7899	13.5812	5.91438
2.26148693	13.7899	13.5812	5.91438
2.30628758	13.7899	13.5812	5.92587
2.25856536	13.7899	13.5812	5.92587
2.30920915	13.7899	13.5812	5.92587
2.37446078	13.7899	13.5812	5.92587
2.25564052	13.7899	13.5812	5.92587
2.20207516	13.7899	13.5812	5.92587
2.22739869	13.7899	13.5812	5.92587
2.2361634	13.7899	13.5812	5.92587
2.22350327	13.7899	13.5812	5.92587
2.26246078	13.7899	13.5812	5.92587
2.34427124	13.7899	13.5812	5.92587
2.30726144	13.7899	13.5812	5.92587
2.23129412	13.7899	13.5812	5.92587
2.24784967	13.7899	13.5812	5.92587
2.2517451	13.7899	13.5812	5.92587
2.28778105	13.7899	13.5812	5.92587
2.3890719	13.7899	13.5812	5.92587
